"uri","date","title","uin"
"http://data.parliament.uk/resources/1082514","2019-03-06","Draft Nutrition (Amendment etc.) (EU Exit) Regulations 2019","CD:2019-03-06:620"
"http://data.parliament.uk/resources/1082515","2019-03-06","Draft Mobile Roaming (EU Exit) Regulations 2019","CD:2019-03-06:621"
"http://data.parliament.uk/resources/1082516","2019-03-06","Draft Motor Vehicles (Compulsory Insurance) (Amendment etc.) (EU Exit) Regulations 2019","CD:2019-03-06:622"
"http://data.parliament.uk/resources/1078368","2019-02-27","draft Official Listing of Securities Prospectus and Transparency (Amendment etc.) (EU Exit) Regulations 2019","CD:2019-02-27:608"
"http://data.parliament.uk/resources/1078369","2019-02-27","draft Employment Rights (Amendment) (Northern Ireland) (EU Exit) Regulations 2019","CD:2019-02-27:609"
"http://data.parliament.uk/resources/1078370","2019-02-27","draft Employment Rights (Amendment) (EU Exit) Regulations 2019","CD:2019-02-27:610"
"http://data.parliament.uk/resources/1078371","2019-02-27","draft Employment Rights (Amendment) (EU Exit) (No. 2) Regulations 2018","CD:2019-02-27:611"
"http://data.parliament.uk/resources/1078372","2019-02-27","draft Employment Rights (Amendment) (Northern Ireland) (EU Exit) (No. 2) Regulations 2018","CD:2019-02-27:612"
"http://data.parliament.uk/resources/1078373","2019-02-27","draft Financial Services Contracts (Transitional and Saving Provision) (EU Exit) Regulations 2019","CD:2019-02-27:613"
"http://data.parliament.uk/resources/1078390","2019-02-27","UK's withdrawal from the EU: Mr Corbyn's amendment (a)","CD:2019-02-27:614"
"http://data.parliament.uk/resources/1078391","2019-02-27","UK's withdrawal from the EU: Mr Blackford's amendment (k)","CD:2019-02-27:615"
"http://data.parliament.uk/resources/1078392","2019-02-27","UK's withdrawal from the EU: Yvette Cooper's amendment (f)","CD:2019-02-27:616"
"http://data.parliament.uk/resources/1077473","2019-02-26","Estimates: Department for Work and Pensions","CD:2019-02-26:607"
"http://data.parliament.uk/resources/1076721","2019-02-25","draft REACH etc. (Amendment etc.) (EU Exit) Regulations 2019","CD:2019-02-25:606"
"http://data.parliament.uk/resources/1063407","2019-02-18","The draft Public Record, Disclosure of Information and Co-operation (Financial Services) (Amendment) (EU Exit) Regulations 2019","CD:2019-02-18:603"
"http://data.parliament.uk/resources/1063411","2019-02-18","The draft Money Market Funds (Amendment) (EU Exit) Regulations 2019","CD:2019-02-18:604"
"http://data.parliament.uk/resources/1063412","2019-02-18","The draft Cross-Border Mediation (EU Directive) (EU Exit) Regulations 2019","CD:2019-02-18:605"
"http://data.parliament.uk/resources/1061008","2019-02-14","UK's withdrawal from the EU: Mr Corbyn's amendment (a)","CD:2019-02-14:600"
"http://data.parliament.uk/resources/1061009","2019-02-14","UK's withdrawal from the EU: Mr Blackford's amendment","CD:2019-02-14:601"
"http://data.parliament.uk/resources/1061010","2019-02-14","UK's withdrawal from the EU: main motion","CD:2019-02-14:602"
"http://data.parliament.uk/resources/1060521","2019-02-13","draft Intellectural Property (Copyright and Related Rights) (Amendment) (EU Exit) Regulations 2018","CD:2019-02-13:598"
"http://data.parliament.uk/resources/1060522","2019-02-13","Securitisation Regulations 2018 - motion to revoke","CD:2019-02-13:599"
"http://data.parliament.uk/resources/1059443","2019-02-12","Mental Capacity (Amendment) Bill [Lords] Report Amdt 49","CD:2019-02-12:594"
"http://data.parliament.uk/resources/1059444","2019-02-12","Mental Capacity (Amendment) Bill [Lords] Report Amdt 50","CD:2019-02-12:595"
"http://data.parliament.uk/resources/1059445","2019-02-12","Mental Capacity (Amendment) Bill [Lords] Report Amdt 51","CD:2019-02-12:596"
"http://data.parliament.uk/resources/1059447","2019-02-12","Mental Capacity (Amendment) Bill [Lords] Third Reading","CD:2019-02-12:597"
"http://data.parliament.uk/resources/1058651","2019-02-11","Financial Services (Implementation of Legislation) Bill [Lords]: Second Reading ","CD:2019-02-11:593"
"http://data.parliament.uk/resources/1055729","2019-02-06","draft Long-term Investment Funds (Amendment) (EU Exit) Regulations 2019","CD:2019-02-06:592"
"http://data.parliament.uk/resources/1054949","2019-02-05","Police Grant Report (England and Wales) for 2019/20","CD:2019-02-05:590"
"http://data.parliament.uk/resources/1054955","2019-02-05","Local Government Finance Report (England) 2019-20","CD:2019-02-05:591"
"http://data.parliament.uk/resources/1051254","2019-01-30","draft Consumer Protection (Enforcement) (Amendment etc.) (EU Exit) Regulations 2018","CD:2019-01-30:583"
"http://data.parliament.uk/resources/1051255","2019-01-30","draft Credit Rating Agencies (Amendment, etc) (EU Exit) Regulations 2019","CD:2019-01-30:584"
"http://data.parliament.uk/resources/1051256","2019-01-30","draft Floods and Water (Amendment etc) (EU Exit) Regulations 2019","CD:2019-01-30:585"
"http://data.parliament.uk/resources/1051257","2019-01-30","draft Carriage of Dangerous Goods (Amendment) Regulations 2019","CD:2019-01-30:586"
"http://data.parliament.uk/resources/1051259","2019-01-30","Crime (Overseas Production Orders) Bill: New Clause 1 to be read a second time","CD:2019-01-30:587"
"http://data.parliament.uk/resources/1051261","2019-01-30","Draft Maritime Transport Access to Trade and Cabotage (Revocation) (EU Exit) Regulations 2019","CD:2019-01-30:589"
"http://data.parliament.uk/resources/1051262","2019-01-30","Crime (Overseas Production Orders) Bill: Report Stage, Amendment 18","CD:2019-01-30:588"
"http://data.parliament.uk/resources/1050638","2019-01-29","EU (Withdrawal) Act Section 13 Amdt (a) - Corbyn","CD:2019-01-29:576"
"http://data.parliament.uk/resources/1050639","2019-01-29"," EU (Withdrawal) Act Section 13 Amdt (o) - Blackford","CD:2019-01-29:577"
"http://data.parliament.uk/resources/1050640","2019-01-29","EU (Withdrawal) Act Section 13 Amdt (g) - Grieve","CD:2019-01-29:578"
"http://data.parliament.uk/resources/1050641","2019-01-29","EU (Withdrawal) Act Section 13 Amdt (b) - Cooper","CD:2019-01-29:579"
"http://data.parliament.uk/resources/1050642","2019-01-29","EU (Withdrawal) Act Section 13 Amdt (j) - Reeves","CD:2019-01-29:580"
"http://data.parliament.uk/resources/1050644","2019-01-29","EU (Withdrawal) Act Section 13 Amdt (i) - Spelman","CD:2019-01-29:581"
"http://data.parliament.uk/resources/1050712","2019-01-29","EU (Withdrawal) Act Section 13 Amdt (n) - Brady","CD:2019-01-29:582"
"http://data.parliament.uk/resources/1049983","2019-01-28","Immigration and Social Security Co-ordination (EU Withdrawal) Bill: Second Reading","CD:2019-01-28:575"
"http://data.parliament.uk/resources/1046754","2019-01-23","draft Civil Legal Aid (Amendment) (EU Exit) Regulations 2019","CD:2019-01-23:574"
"http://data.parliament.uk/resources/1046755","2019-01-23","Lords Amendment 36 to the Tenant Fees Bill ","CD:2019-01-23:573"
"http://data.parliament.uk/resources/1045805","2019-01-22","Draft Crown Dependencies Customs Union (Isle of Man) (EU Exit) Order 2018","CD:2019-01-22:569"
"http://data.parliament.uk/resources/1045806","2019-01-22","Draft Crown Dependencies Customs Union (Guernsey) (EU Exit) Order 2018","CD:2019-01-22:568"
"http://data.parliament.uk/resources/1045807","2019-01-22","Draft Crown Dependencies Customs Union (Jersey) (EU Exit) Order 2018","CD:2019-01-22:572"
